chr8	128806125	128808865
chr8	128806925	128809425
chr8	128969925	128972445
chr8	128973565	128976065
chr8	129058405	129060905
chr8	129364785	129367325
chr8	130585925	130589225
chr8	130702125	130704625
chr8	130709145	130711645
chrX	48641372	48641493
chrX	48659028	48659074
chrX	48660375	48660526
chrX	48641372	48641493
chrX	48644930	48644969
chrX	48659028	48659074
chr11	5270837	5271645
chr11	5275761	5276545
chr11	5296965	5297465
chr11	5299865	5300405
chr11	5305765	5306265
chr11	5309265	5309785
chr11	5525445	5526425
chr11	5526632	5527165
chr11	5301600	5302400
chr11	5301600	5302400
chr11	5301600	5302400
chr11	5301600	5302400
chr11	5301600	5302400
chr17	40851240	40851334
chr6	109625629	109626129
chr1	3691278	3691778
chr6	109625629	109626129
chr1	3691278	3691778
chr20	55990155	55990155
chr20	55990155	55990155
chr1	3691278	3691778
chrX	55054662	55054701
chr1	29210606	29210645
chr1	29211591	29211630
chr19	44278759	44278798
chr10	127505227	127505304
chr6	135644462	135644615
chr11	61602067	61602390
chr11	61609256	61609274
chr11	61739083	61739510
chr11	5305924	5306090
chr11	5309413	5309590
chr11	5296984	5297290
chr11	5305924	5306090
chr11	5309413	5309590
chr6	37018088	37018230
chr6	37151047	37151290
chr7	106650779	106650797
chr17	31220757	31222033
chr17	31224570	31224590
chr17	31236528	31240709
chr17	31237036	31237145
chr17	31220757	31222033
chr17	31236528	31240709
chr17	31237036	31237145
chr17	31220757	31222033
chr17	31236528	31240709
chr17	31237036	31237145
chr12	56400867	56400888
chr19	49376085	49376585
chr19	49376745	49377245
chr19	49401746	49402745
chr19	49315365	49315905
chr19	12847665	12848522
chr19	12996905	12998745
chr19	13213425	13214345
chr8	128972637	128972748
chr8	129057457	129057958
chr8	130594026	130594707
chr8	130701606	130701940
chr8	130704704	130705463
chr12	54694571	54695545
chr12	54698025	54698545
chr19	12782725	12783305
chr19	12996905	12998745
chr19	12886184	12886825
chr19	12993385	12993885
chr19	12994425	12994945
chr19	13213425	13214345
chr19	49322685	49323205
chr19	49375325	49375898
chr19	49376085	49376585
chr19	49376745	49377245
chr19	49377625	49378145
chr19	49381225	49382185
chr19	49465505	49466025
chr19	49466965	49467465
chr19	49474085	49474605
chr19	49223765	49224305
chr19	49243720	49245145
chr19	49248365	49248885
chr19	49284045	49284685
chrX	48619903	48620645
chrX	48643025	48643685
chrX	48700065	48700565
chrX	49040725	49041225
chrX	49100665	49101185
chr3	127914145	127914685
chr3	128206514	128208295
chr3	128964465	128965005
chr3	129024465	129024965
chr3	129409145	129409665
chrX	47092063	47093285
chrX	47438845	47439365
chrX	47740185	47740725
chrX	48643025	48643685
chrX	48860065	48860565
chr12	54689425	54689965
chr12	54694571	54695545
chr12	54697345	54697845
chr12	54698025	54698545
chr12	54700765	54701285
chr19	12827685	12828205
chr19	12893105	12893985
chr19	12895265	12895785
chr19	12900645	12901165
chr19	12996905	12998745
chr19	12958325	12958825
chr19	12977965	12978745
chr19	12992085	12992645
chr19	12999705	13000205
chr19	13001505	13002192
chr19	13019305	13019805
chr19	13213425	13214345
chr19	13215145	13215725
chr8	128911142	128911209
chr8	128972637	128972748
chr8	129057457	129057958
chr8	129061537	129061789
chr8	130594026	130594707
chr8	130701606	130701940
chr8	130704704	130705463
chr12	54447410	54447910
chr12	54673305	54675605
chr12	54697345	54697845
chr12	54698025	54698545
chr12	54700765	54701285
chr19	49375325	49375898
chr19	49376085	49376585
chr19	49376745	49377245
chr19	49377625	49378145
chr19	49381225	49382185
chr19	49401746	49402745
chrX	48797400	48798550
chrX	48798640	48799830
chrX	47509425	47510405
chrX	48354985	48355505
chrX	48432005	48432990
chrX	48641205	48641705
chrX	48643025	48643685
chrX	48644125	48645245
chrX	48647805	48648385
chrX	48651705	48652205
chrX	48653225	48653725
chrX	48658825	48659325
chrX	49004925	49005425
chrX	49011485	49012945
chrX	49020285	49020785
chrX	49022705	49023205
chrX	49023505	49024085
chrX	49033765	49034265
chrX	49040725	49041225
chrX	49042585	49043125
chrX	49049845	49050365
chrX	48644125	48645245
chrX	48652605	48653165
chrX	48797725	48798225
chrX	48798965	48799505
chrX	48904685	48905265
chrX	48940985	48941505
chr19	12886184	12886825
chr19	12888325	12888845
chr19	12889945	12890545
chr19	12893105	12893985
chr19	12895265	12895785
chr19	12902005	12902559
chr19	12916645	12917677
chr19	12935945	12936745
chr19	12943165	12943725
chr19	12958325	12958825
chr19	12995825	12996325
chr19	12996905	12998745
chr19	13301925	13302425
chr8	130701606	130701940
chr8	130704704	130705463
chr19	12845325	12845839
chr19	12995825	12996325
chr19	12996905	12998745
chr19	13049025	13049663
chr19	12912425	12912974
chr19	12996905	12998745
chr3	127770845	127771461
chr3	128145125	128145805
chr3	128251705	128252205
chr19	12791925	12792425
chr19	12792451	12792985
chr19	12996905	12998745
