Supplementary Table 3a. Data for E-G pairs generated by CRISPRi-FlowFISH screens in K562 cells,,,,,,,,,,,,,,,,,,
chr,start,end,Element name,Gene,Fraction change in gene expr,Adjusted p-value,Significant,nKO,nCtrl,semKO,semCtrl,Power to detect 25% effects,Lower bound of 95% confidence interval for fraction change in gene expr,Upper bound of 95% confidence interval for fraction change in gene expr,T-statistic,Degrees of freedom,Valid E-G connection,Invalidating reason
chr19,12996905,12998745,promoter|chr19:12996905-12998745,BAX,-0.011717417,0.996175361,FALSE,4,993,0.030049694,0.004708436,0.998678107,-0.107348955,0.083914121,-0.159056439,995,TRUE,
chr19,48812505,48813005,genic|chr19:48812505-48813005,BAX,-0.024120634,0.996175361,FALSE,24,993,0.024833008,0.004708436,1,-0.075491624,0.027250356,-0.79289171,1015,TRUE,
chr19,48817545,48818085,genic|chr19:48817545-48818085,BAX,-0.037554906,0.962221045,FALSE,19,993,0.043040158,0.004708436,0.999976502,-0.127978923,0.05286911,-1.089743639,1010,TRUE,
chr19,48824385,48824925,intergenic|chr19:48824385-48824925,BAX,0.005708856,0.996175361,FALSE,80,993,0.014101755,0.004708436,1,-0.022359985,0.033777697,0.329166111,1071,TRUE,
chr19,48824985,48825585,intergenic|chr19:48824985-48825585,BAX,0.010610671,0.996175361,FALSE,120,993,0.010496475,0.004708436,1,-0.010173397,0.03139474,0.749819574,1111,TRUE,
chr19,48828378,48829005,promoter|chr19:48828378-48829005,BAX,0.012201375,0.996175361,FALSE,60,993,0.020937953,0.004708436,1,-0.029695371,0.054098121,0.6106245,1051,TRUE,
chr19,48829105,48829625,promoter|chr19:48829105-48829625,BAX,-0.018127229,0.962221045,FALSE,89,993,0.012919534,0.004708436,1,-0.043802088,0.007547631,-1.124724049,1080,TRUE,
chr19,48835885,48836625,genic|chr19:48835885-48836625,BAX,-0.015320109,0.962221045,FALSE,103,993,0.016669403,0.004708436,1,-0.04838379,0.017743571,-0.989652689,1094,TRUE,
chr19,48837085,48837585,genic|chr19:48837085-48837585,BAX,-0.019124315,0.958507682,FALSE,106,993,0.013108681,0.004708436,1,-0.045116407,0.006867777,-1.278043481,1097,TRUE,
chr19,48842585,48843105,genic|chr19:48842585-48843105,BAX,-0.024771068,0.962221045,FALSE,57,993,0.017145602,0.004708436,1,-0.059117835,0.0095757,-1.238212679,1048,TRUE,
chr19,48848065,48848565,genic|chr19:48848065-48848565,BAX,0.018170169,0.976355444,FALSE,64,993,0.01787753,0.004708436,1,-0.017555224,0.053895562,0.946827699,1055,TRUE,
